step,time_s,drone_id,action,task_id,x,y,z,vx,vy,vz,ax,ay,az,battery_wh,temperature_c,link_up,link_type,bandwidth_kbps,pdr,latency_ms,storage_mb,pending_results,model_version,note
25,125.0,0,STORE_AND_WAIT,,-100.0,-60.0,35.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,79.667,42.453,0,MESH,0.0,0.0,-1.0,0.36,2,0,result retained onboard
25,125.0,1,HOLD,,109.64,45.207,40.028,0.0,0.0,0.0,-0.0,-0.0,-0.0,80.117,43.049,1,MESH,384.0,0.88,149.6,0.36,2,1,no feasible released task
25,125.0,2,HOLD,,10.0,-115.0,42.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,82.708,39.425,1,MESH,268.8,0.88,169.4,0.0,0,0,no feasible released task
26,130.0,0,HOLD,,-100.0,-60.0,35.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,79.667,41.679,1,MESH,384.0,0.88,149.6,0.36,2,0,no feasible released task
26,130.0,1,HOLD,,109.64,45.207,40.028,0.0,0.0,0.0,-0.0,-0.0,-0.0,80.117,42.203,1,MESH,268.8,0.88,169.4,0.36,2,1,no feasible released task
26,130.0,2,HOLD,,10.0,-115.0,42.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,82.708,39.014,1,MESH,211.2,0.855,110.0,0.0,0,0,no feasible released task
27,135.0,0,HOLD,,-100.0,-60.0,35.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,79.667,40.997,1,MESH,268.8,0.88,169.4,0.36,2,0,no feasible released task
27,135.0,1,HOLD,,109.64,45.207,40.028,0.0,0.0,0.0,-0.0,-0.0,-0.0,80.117,41.459,1,MESH,211.2,0.855,110.0,0.36,2,1,no feasible released task
27,135.0,2,HOLD,,10.0,-115.0,42.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,82.708,38.652,1,MESH,307.2,0.88,129.8,0.0,0,0,no feasible released task
28,140.0,0,DEFER_UPLOAD,,-100.0,-60.0,35.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,79.667,40.398,1,MESH,211.2,0.855,110.0,0.36,2,0,link available but full result misses this slot
28,140.0,1,DEFER_UPLOAD,,109.64,45.207,40.028,0.0,0.0,0.0,-0.0,-0.0,-0.0,80.117,40.804,1,MESH,307.2,0.88,129.8,0.36,2,1,link available but full result misses this slot
28,140.0,2,HOLD,,10.0,-115.0,42.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,82.708,38.334,0,MESH,0.0,0.0,-1.0,0.0,0,0,no feasible released task
29,145.0,0,HOLD,,-100.0,-60.0,35.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,79.667,39.87,1,MESH,307.2,0.88,129.8,0.36,2,0,no feasible released task
29,145.0,1,HOLD,,109.64,45.207,40.028,0.0,0.0,0.0,-0.0,-0.0,-0.0,80.117,40.227,1,MESH,384.0,0.88,149.6,0.36,2,1,no feasible released task
29,145.0,2,HOLD,,10.0,-115.0,42.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,82.708,38.054,0,MESH,0.0,0.0,-1.0,0.0,0,0,no feasible released task
30,150.0,0,HOLD,,-100.0,-60.0,35.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,79.667,39.406,1,MESH,384.0,0.88,149.6,0.36,2,0,no feasible released task
30,150.0,1,STORE_AND_WAIT,,109.64,45.207,40.028,0.0,0.0,0.0,-0.0,-0.0,-0.0,80.117,39.72,0,MESH,0.0,0.0,-1.0,0.36,2,1,result retained onboard
